id;duration;protocol_type;service;flag;src_bytes;dst_bytes;land;wrong_fragment;urgent;hot;num_failed_logins;logged_in;num_compromised;root_shell;su_attempted;num_root;num_file_creations;num_shells;num_access_files;num_outbound_cmds;is_host_login;is_guest_login;count;srv_count;serror_rate;srv_serror_rate;rerror_rate;srv_rerror_rate;same_srv_rate;diff_srv_rate;srv_diff_host_rate;dst_host_count;dst_host_srv_count;dst_host_same_srv_rate;dst_host_diff_srv_rate;dst_host_same_src_port_rate;dst_host_srv_diff_host_rate;dst_host_serror_rate;dst_host_srv_serror_rate;dst_host_rerror_rate;dst_host_srv_rerror_rate
1;1;tcp;smtp;SF;2397;328;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;1;179;182;0.68;0.02;0.01;0.01;0;0;0;0
2;990;udp;other;SF;145;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;255;1;0;0.64;0.94;0;0;0;0;0
3;0;icmp;ecr_i;SF;1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;23;0;0;0;0;1;0;0;255;23;0.09;0.02;0.09;0;0;0;0;0
4;0;icmp;eco_i;SF;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;0;0;1;0;1;1;85;1;0;1;0.51;0;0;0;0
5;0;udp;domain_u;SF;44;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;250;101;0.4;0.01;0.38;0;0;0;0;0
6;0;tcp;finger;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;5;1;1;0;0;0.04;0.06;0;255;5;0.02;0.07;0;0;1;1;0;0
7;0;tcp;ftp_data;SF;192;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;47;52;0.17;0.06;0.17;0.04;0;0.02;0;0
8;0;tcp;time;RSTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;5;0;0;1;1;0.03;0.07;0;255;5;0.02;0.08;0;0;0;0;1;1
9;0;udp;domain_u;SF;41;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;165;0;0;0;0;1;0;0.01;255;255;1;0;0;0;0;0;0;0
10;0;tcp;name;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;19;0;0;1;1;0.19;0.07;0;255;13;0.05;0.07;0;0;0;0;1;1
11;0;tcp;private;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;20;1;1;0;0;0.32;0.06;0;255;20;0.08;0.07;0;0;1;1;0;0
12;0;tcp;link;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;25;1;1;0;0;0.09;0.05;0;255;25;0.1;0.05;0;0;1;1;0;0
13;0;tcp;http;SF;326;414;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;16;0;0;0;0;1;0;0.12;54;255;1;0;0.02;0.04;0;0;0;0
14;0;tcp;smtp;SF;1384;331;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;82;54;0.66;0.06;0.01;0;0.01;0.02;0;0
15;0;tcp;ftp_data;SF;12165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;1;0;0;255;49;0.19;0.02;0.19;0;0.52;0;0;0
16;0;tcp;efs;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;13;1;1;0;0;0.09;0.06;0;255;13;0.05;0.06;0;0;1;1;0;0
17;0;udp;private;SF;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;22;0;0;0;0;0.45;0.08;0;255;88;0.35;0.06;1;0;0;0;0;0
18;0;tcp;http;SF;242;19341;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;1;0;0;255;255;1;0;0;0;0.01;0.01;0;0
19;0;tcp;ftp;RSTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;2;0;0;1;1;0.01;0.06;0;255;2;0.01;0.07;0;0;0;0;1;1
20;0;udp;private;SF;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;15;0;0;0;0;0.94;0.12;0;255;15;0.06;0.93;0.07;0;0.16;0;0.77;0
21;0;tcp;http;SF;293;597;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;10;0;0;0;0;1;0;0.2;30;255;1;0;0.07;0.05;0;0;0;0
